Track,Album Name,Artist,All Time Rank,Track Score,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,Genres
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,1,725.4,30716.0,196631588.0,92.0,"indie pop, pop"
Not Like Us,Not Like Us,Kendrick Lamar,2,545.9,28113.0,174597137.0,92.0,"west coast hip hop, hip hop"
i like the way you kiss me,I like the way you kiss me,Artemas,3,538.4,54331.0,211607669.0,92.0,"r&b, pop"
Flowers,Flowers - Single,Miley Cyrus,4,444.9,269802.0,136569078.0,85.0,"soft rock, pop"
Houdini,Houdini,Eminem,5,423.3,7223.0,151469874.0,88.0,"hip hop, rap"
Lovin On Me,Lovin On Me,Jack Harlow,6,410.1,105892.0,175421034.0,83.0,"trap, hip hop, pop"
Beautiful Things,Beautiful Things,Benson Boone,7,407.2,73118.0,201585714.0,86.0,"alternative pop, pop"
Gata Only,Gata Only,FloyyMenor,8,375.8,40094.0,211236940.0,92.0,"reggaeton chileno, reggaeton, chilean mambo, chilean trap"
Gata Only,Gata Only,FloyyMenor,8,375.8,40094.0,211236940.0,92.0,"reggaeton chileno, reggaeton, chilean mambo, chilean trap"
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,9,355.7,1.0,15.0,,"latin, reggaeton, pop, dance"
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,9,355.7,1.0,15.0,,"latin, reggaeton, pop"
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,9,355.7,1.0,15.0,,"pop, latin, reggaeton, dance"
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,9,355.7,1.0,15.0,,"latin, reggaeton, dancehall"
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,9,355.7,1.0,15.0,,"pop, latin, reggaeton, dance"
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,10,330.6,10400.0,184199419.0,86.0,"drill, uk drill, grime"
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,11,322.1,16219.0,168766158.0,91.0,country
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,11,322.1,16219.0,168766158.0,91.0,country
The Door,The Door,Teddy Swims,12,320.2,2.0,263767.0,,"pop, r&b, soul"
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,13,316.3,13800.0,197280692.0,92.0,"alternative pop, dark pop"
Like That,WE DON'T TRUST YOU,Future,14,308.2,43025.0,108168634.0,88.0,"west coast hip hop, hip hop, rap"
bathroom floor,bathroom floor,Kids With Buns,15,301.6,277.0,24445.0,12.0,"indie pop, bedroom pop"
LALA,LALA - Single,Myke Towers,16,299.9,103605.0,79944921.0,79.0,"trap latino, urbano latino, reggaeton"
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,17,297.6,12784.0,177932568.0,89.0,"pop, country-pop"
greedy,greedy,Tate McRae,18,293.7,105218.0,198845580.0,87.0,"alternative pop, pop"
BLUE,HIT ME HARD AND SOFT,Billie Eilish,19,292.6,6499.0,52287548.0,86.0,"electropop, alternative pop, dark pop"
As It Was,As It Was,Harry Styles,20,292.0,407119.0,169783402.0,87.0,"soft rock, pop, pop rock"
Paint The Town Red,Paint The Town Red,Doja Cat,21,290.5,170890.0,121712197.0,78.0,"trap, hip hop, pop"
Espresso,Espresso,Sabrina Carpenter,22,281.5,24425.0,262343414.0,95.0,"electropop, pop"
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,23,279.0,10.0,655.0,,"latin, reggaeton, pop, dance"
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,23,279.0,10.0,655.0,,"latin, reggaeton, pop"
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,23,279.0,10.0,655.0,,"pop, latin, reggaeton, dance"
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,23,279.0,10.0,655.0,,"latin, reggaeton, dancehall"
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,23,279.0,10.0,655.0,,"pop, latin, reggaeton, dance"
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,24,278.9,34044.0,152928632.0,86.0,"art pop, pop"
Future,Future,official sound studio,25,277.5,1.0,2.0,,"trap, electronic, hip hop"
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,26,268.1,3504.0,661084.0,35.0,"brazilian phonk, phonk"
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,27,266.3,451732.0,134793519.0,78.0,"r&b, hip hop, pop"
Baby Shark,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Pinkfong,28,265.7,60945.0,7530769.0,71.0,"lullaby, children's music"
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,29,262.8,26203.0,197494995.0,87.0,pop
Numb / Encore,Papercuts,JAY-Z,30,256.0,128.0,485454.0,,"nu metal, hip hop, alternative metal, rap, rap metal, rock, east coast hip hop"
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý,LOVE BGM JPN,31,249.8,,,,"pop, latin, reggaeton, dance"
SHEESH,BABYMONS7ER,BABYMONSTER,32,237.5,3479.0,25936342.0,82.0,k-pop
Water,Water,Tyla,33,234.6,98450.0,150471020.0,83.0,afrobeats
Strangers,Strangers,Kenya Grace,34,233.5,139141.0,103879363.0,79.0,"contemporary christian, christian, pop"
Too Sweet,Unreal Unearth: Unheard,Hozier,35,231.6,23557.0,67488850.0,,"blues, gospel, soul, folk"
Too Sweet,Unreal Unearth: Unheard,Hozier,35,231.6,23557.0,67488850.0,,"blues, gospel, soul, folk"
What's Love Got to Do with It - 2023 Remaster,What's Love Got to Do with It (30th Anniversary Deluxe Edition),Tina Turner,36,230.0,7.0,1519.0,,"r&b, rock, pop"
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,37,226.4,25766.0,180237463.0,96.0,"indie pop, indie folk, alternative"
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,37,226.4,25766.0,180237463.0,96.0,"indie pop, indie folk, pop"
Lose Control,Lose Control,Teddy Swims,38,224.1,88239.0,180617454.0,87.0,"soul, r&b, pop"
