Track,Album Name,Artist,All Time Rank,Track Score,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,1,725.4,30716.0,196631588.0,92.0
Not Like Us,Not Like Us,Kendrick Lamar,2,545.9,28113.0,174597137.0,92.0
i like the way you kiss me,I like the way you kiss me,Artemas,3,538.4,54331.0,211607669.0,92.0
Flowers,Flowers - Single,Miley Cyrus,4,444.9,269802.0,136569078.0,85.0
Houdini,Houdini,Eminem,5,423.3,7223.0,151469874.0,88.0
Lovin On Me,Lovin On Me,Jack Harlow,6,410.1,105892.0,175421034.0,83.0
Beautiful Things,Beautiful Things,Benson Boone,7,407.2,73118.0,201585714.0,86.0
Gata Only,Gata Only,FloyyMenor,8,375.8,40094.0,211236940.0,92.0
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,10,330.6,10400.0,184199419.0,86.0
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,11,322.1,16219.0,168766158.0,91.0
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,13,316.3,13800.0,197280692.0,92.0
Like That,WE DON'T TRUST YOU,Future,14,308.2,43025.0,108168634.0,88.0
bathroom floor,bathroom floor,Kids With Buns,15,301.6,277.0,24445.0,12.0
LALA,LALA - Single,Myke Towers,16,299.9,103605.0,79944921.0,79.0
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,17,297.6,12784.0,177932568.0,89.0
greedy,greedy,Tate McRae,18,293.7,105218.0,198845580.0,87.0
BLUE,HIT ME HARD AND SOFT,Billie Eilish,19,292.6,6499.0,52287548.0,86.0
As It Was,As It Was,Harry Styles,20,292.0,407119.0,169783402.0,87.0
Paint The Town Red,Paint The Town Red,Doja Cat,21,290.5,170890.0,121712197.0,78.0
Espresso,Espresso,Sabrina Carpenter,22,281.5,24425.0,262343414.0,95.0
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,26,268.1,3504.0,661084.0,35.0
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,27,266.3,451732.0,134793519.0,78.0
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,29,262.8,26203.0,197494995.0,87.0
