Track,Artist,Genres
MILLION DOLLAR BABY,Tommy Richman,"indie pop, pop"
Not Like Us,Kendrick Lamar,"west coast hip hop, hip hop"
i like the way you kiss me,Artemas,"r&b, pop"
Flowers,Miley Cyrus,"soft rock, pop"
Houdini,Eminem,"hip hop, rap"
Lovin On Me,Jack Harlow,"trap, hip hop, pop"
Beautiful Things,Benson Boone,"alternative pop, pop"
Gata Only,FloyyMenor,"reggaeton chileno, reggaeton, chilean mambo, chilean trap"
Danza Kuduro - Cover,MUSIC LAB JPN,"latin, reggaeton, pop, dance"
BAND4BAND (feat. Lil Baby),Central Cee,"drill, uk drill, grime"
I Had Some Help (feat. Morgan Wallen),Post Malone,country
The Door,Teddy Swims,"pop, r&b, soul"
LUNCH,Billie Eilish,"alternative pop, dark pop"
Like That,Future,"west coast hip hop, hip hop, rap"
bathroom floor,Kids With Buns,"indie pop, bedroom pop"
LALA,Myke Towers,"trap latino, urbano latino, reggaeton"
Fortnight (feat. Post Malone),Taylor Swift,"pop, country-pop"
greedy,Tate McRae,"alternative pop, pop"
BLUE,Billie Eilish,"electropop, alternative pop, dark pop"
As It Was,Harry Styles,"soft rock, pop, pop rock"
Paint The Town Red,Doja Cat,"trap, hip hop, pop"
Espresso,Sabrina Carpenter,"electropop, pop"
Danza Kuduro - Cover,MUSIC LAB JPN,"latin, reggaeton, pop"
TEXAS HOLD 'EM,Beyoncï¿,"art pop, pop"
Future,official sound studio,"trap, electronic, hip hop"
Beat Automotivo Tan Tan Tan Viral,WZ Beat,"brazilian phonk, phonk"
STAY (with Justin Bieber),The Kid LAROI,"r&b, hip hop, pop"
Baby Shark,Pinkfong,"lullaby, children's music"
we can't be friends (wait for your love),Ariana Grande,pop
Numb / Encore,JAY-Z,"nu metal, hip hop, alternative metal, rap, rap metal, rock, east coast hip hop"
Danza Kuduro - Cover,LOVE BGM JPN,"pop, latin, reggaeton, dance"
SHEESH,BABYMONSTER,k-pop
Water,Tyla,afrobeats
Strangers,Kenya Grace,"contemporary christian, christian, pop"
Too Sweet,Hozier,"blues, gospel, soul, folk"
What's Love Got to Do with It - 2023 Remaster,Tina Turner,"r&b, rock, pop"
A Bar Song (Tipsy),Shaboozey,"indie pop, indie folk, alternative"
Lose Control,Teddy Swims,"soul, r&b, pop"
fukumean,Gunna,melodic rap
Dance Monkey,Tones And I,"indie pop, dance-pop, pop"
BIRDS OF A FEATHER,Billie Eilish,"alternative pop, dark pop"
